Tournament,Date,Series,Surface,Round,Winner,Loser
BNP Paribas Masters,2018-10-31,Masters 1000,Hard,2nd Round,Grigor Dimitrov,Roberto Bautista Agut
BNP Paribas Masters,2018-10-31,Masters 1000,Hard,2nd Round,Borna Coric,Daniil Medvedev
BNP Paribas Masters,2018-11-01,Masters 1000,Hard,3rd Round,Marin Cilic,Grigor Dimitrov
BNP Paribas Masters,2018-11-01,Masters 1000,Hard,3rd Round,Alexander Zverev,Diego Schwartzman
BNP Paribas Masters,2018-11-02,Masters 1000,Hard,Quarterfinals,Karen Khachanov,Alexander Zverev
BNP Paribas Masters,2018-11-02,Masters 1000,Hard,Quarterfinals,Novak Djokovic,Marin Cilic
BNP Paribas Masters,2018-11-04,Masters 1000,Hard,The Final,Karen Khachanov,Novak Djokovic
Masters Cup,2018-11-12,Masters Cup,Hard,Round Robin,Alexander Zverev,Marin Cilic
Masters Cup,2018-11-14,Masters Cup,Hard,Round Robin,Novak Djokovic,Alexander Zverev
Masters Cup,2018-11-16,Masters Cup,Hard,Round Robin,Novak Djokovic,Marin Cilic
Masters Cup,2018-11-18,Masters Cup,Hard,The Final,Alexander Zverev,Novak Djokovic
